INV1;How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?;extremely aware;not aware at all 
REAL1;How real did the virtual world seem to you?;completely real;not real at all 
SP4;I had a sense of acting in the virtual space, rather than operating something from outside.;fully disagree;fully agree 
REAL2;How much did your experience in the virtual environment seem consistent with your real world experience ?;not consistent;very consistent 
REAL3;How real did the virtual world seem to you?;about as real as an imagined world;indistinguishable from the real world 
SP3;I did not feel present in the virtual space.;did not feel;felt present 
INV2;I was not aware of my real environment.;fully disagree;fully agree 
G1;In the computer generated world I had a sense of "being there";not at all;very much 
SP1;Somehow I felt that the virtual world surrounded me.;fully disagree;fully agree 
SP5;I felt present in the virtual space.;fully disagree;fully agree 
INV3;I still paid attention to the real environment.;fully disagree;fully agree 
REAL4;The virtual world seemed more realistic than the real world.;fully disagree;fully agree 
SP2;I felt like I was just perceiving pictures.;fully disagree;fully agree 
INV4;I was completely captivated by the virtual world.;fully disagree;fully agree